ring,category,family,value,fraction
Ring2_pypahdb_pahonly_full,charge,NEUTRAL,0.6307040355028571,0.5839955072592898
Ring2_pypahdb_pahonly_full,charge,CATION,0.21657689107950795,0.2005376916064528
Ring2_pypahdb_pahonly_full,charge,ANION,0.23270004529663443,0.21546680113425742
Ring2_pypahdb_pahonly_full,size,LARGE,0.08754885605101181,0.08754885605101181
Ring2_pypahdb_pahonly_full,size,MEDIUM,0.3955691215131246,0.3955691215131246
Ring2_pypahdb_pahonly_full,size,SMALL,0.5168820224358637,0.5168820224358637
Ring2_pypahdb_pahonly_full,extra,NC,1.2404980578016245e+20,
Ring2_pypahdb_pahonly_full,extra,CATION_NEUTRAL_RATIO,0.21657689107950795,
Ring2_pypahdb_pahonly_full,extra,ERROR,0.5063766968905944,
